hora,campaign,impressoes,cliques,conversoes,conversoes_atribuidas,custo_total,custo_medio,ctr,taxa_conversao
0,73325,2,0,0,0,4.95210779392e-05,2.47605389696e-05,0.0,0.0
0,73328,10,5,2,0,0.0005418082971056,5.4180829710559996e-05,0.5,0.0
0,83677,14,2,0,0,0.001229468613767,8.781918669764285e-05,0.14285714285714285,0.0
0,289466,2,1,0,0,0.001586583008473,0.0007932915042365,0.5,0.0
0,408759,3,1,1,0,4.22248145763e-05,1.40749381921e-05,0.3333333333333333,0.0
0,442617,2,0,0,0,5.2542517728599995e-05,2.6271258864299997e-05,0.0,0.0
0,497590,29,11,2,2,0.0017761167215796,6.12454041924e-05,0.3793103448275862,0.06896551724137931
0,497593,118,55,3,3,0.0062542284584246,5.300193608834407e-05,0.4661016949152542,0.025423728813559324
0,604244,23,14,0,0,0.0037267341935262,0.00016203192145766086,0.6086956521739131,0.0
0,604249,3,0,0,0,7.642946769800001e-05,2.5476489232666668e-05,0.0,0.0
0,716288,10,3,0,0,0.001594627748978,0.0001594627748978,0.3,0.0
0,804100,9,3,0,0,0.0011061935296942,0.00012291039218824445,0.3333333333333333,0.0
0,828346,9,2,0,0,0.0004905154829645,5.450172032938888e-05,0.2222222222222222,0.0
0,884761,8,4,0,0,0.0037820541157893,0.0004727567644736625,0.5,0.0
0,946549,3,1,0,0,0.0004079968609211,0.00013599895364036667,0.3333333333333333,0.0
0,1130498,3,1,0,0,0.0001732353137519,5.774510458396667e-05,0.3333333333333333,0.0
0,1313883,1,0,0,0,0.000148665957591,0.000148665957591,0.0,0.0
0,1341195,8,4,0,0,0.000485983288797,6.0747911099625e-05,0.5,0.0
0,1341198,4,1,0,0,0.0010826943946237,0.000270673598655925,0.25,0.0
0,1415896,4,1,0,0,0.0007497344101175,0.000187433602529375,0.25,0.0
0,1586481,33,9,0,0,0.0046977532502588005,0.00014235615909875154,0.2727272727272727,0.0
0,1632450,1,0,0,0,0.000157400513836,0.000157400513836,0.0,0.0
0,1632451,2,0,0,0,0.0007286110169750001,0.00036430550848750003,0.0,0.0
0,1716282,2,0,0,0,0.0002210753849327,0.00011053769246635,0.0,0.0
0,1869938,4,0,0,0,4.25014595687e-05,1.0625364892175e-05,0.0,0.0
0,1871873,2,0,0,0,4.11010772757e-05,2.055053863785e-05,0.0,0.0
0,1946547,10,3,0,0,0.0005372713855714,5.372713855714e-05,0.3,0.0
0,2073319,1,0,0,0,1e-05,1e-05,0.0,0.0
0,2073328,3,0,0,0,0.00011290704667569999,3.763568222523333e-05,0.0,0.0
0,2077112,1,1,0,0,1e-05,1e-05,1.0,0.0
0,2144729,5,0,0,0,0.0009005306610279,0.00018010613220558,0.0,0.0
0,2390251,10,3,1,1,0.0006770395066196,6.770395066196e-05,0.3,0.1
0,2407403,2,0,0,0,2.93944589569e-05,1.469722947845e-05,0.0,0.0
0,2462355,2,0,0,0,4.0282476693399995e-05,2.0141238346699998e-05,0.0,0.0
0,2576437,17,6,0,0,0.0007189647968051,4.2292046870888234e-05,0.35294117647058826,0.0
0,2694554,10,3,0,0,0.0001754018286814,1.754018286814e-05,0.3,0.0
0,2828357,7,2,0,0,0.0045236298839761,0.0006462328405680143,0.2857142857142857,0.0
0,2865314,30,8,0,0,0.005085792894017,0.00016952642980056667,0.26666666666666666,0.0
0,2865315,7,3,0,0,0.0012142141112745,0.0001734591587535,0.42857142857142855,0.0
0,2865318,1,0,0,0,1e-05,1e-05,0.0,0.0
0,2865319,2,0,0,0,0.0001949096381736,9.74548190868e-05,0.0,0.0
0,2869134,9,3,2,2,0.0008889832708459,9.877591898287778e-05,0.3333333333333333,0.2222222222222222
0,2946551,75,51,7,3,0.0225006561143406,0.000300008748191208,0.68,0.04
0,2953716,11,6,0,0,0.0002870645246268,2.609677496607273e-05,0.5454545454545454,0.0
0,3073302,2,0,0,0,2e-05,1e-05,0.0,0.0
0,3073303,1,0,0,0,1e-05,1e-05,0.0,0.0
0,3073304,2,2,2,1,0.00036139744621099996,0.00018069872310549998,1.0,0.5
0,3073305,1,0,0,0,1.90302948741e-05,1.90302948741e-05,0.0,0.0
0,3139444,1,0,0,0,0.000136764724465,0.000136764724465,0.0,0.0
0,3144706,10,0,0,0,0.0004532285538616,4.532285538616e-05,0.0,0.0
0,3291799,3,2,0,0,0.00031488273507890004,0.00010496091169296668,0.6666666666666666,0.0
0,3291800,17,5,0,0,0.0042258997638432005,0.00024858233904960004,0.29411764705882354,0.0
0,3406183,3,1,0,0,0.000634999312416,0.000211666437472,0.3333333333333333,0.0
0,3422224,2,2,0,0,0.0002925203326836,0.0001462601663418,1.0,0.0
0,3610770,1,0,0,0,1e-05,1e-05,0.0,0.0
0,3694556,3,1,0,0,0.0001053349246676,3.511164155586666e-05,0.3333333333333333,0.0
0,3788051,10,4,2,2,0.0049079816349497,0.00049079816349497,0.4,0.2
0,3828354,10,4,1,1,0.0019682005298612,0.00019682005298612,0.4,0.1
0,3828360,3,0,0,0,0.00016466004664399998,5.488668221466666e-05,0.0,0.0
0,3858764,1,1,0,0,0.000363643326278,0.000363643326278,1.0,0.0
0,3877975,3,2,0,0,0.0001538815154183,5.1293838472766666e-05,0.6666666666666666,0.0
0,3884873,7,2,0,0,9.002005028170001e-05,1.2860007183100002e-05,0.2857142857142857,0.0
0,3892353,6,3,1,0,0.0011220989030105,0.00018701648383508333,0.5,0.0
0,4293600,11,3,0,0,0.0011951112188529,0.00010864647444117273,0.2727272727272727,0.0
0,4406178,2,0,0,0,0.0010868526337819,0.00054342631689095,0.0,0.0
0,4406179,3,3,0,0,0.0006274058119628,0.00020913527065426665,1.0,0.0
0,4466870,1,0,0,0,0.000120588251773,0.000120588251773,0.0,0.0
0,4626334,1,1,0,0,1.1847214284e-05,1.1847214284e-05,1.0,0.0
0,4676898,1,0,0,0,1e-05,1e-05,0.0,0.0
0,4804073,1,0,0,0,0.00041748166443,0.00041748166443,0.0,0.0
0,4814007,6,0,0,0,0.00045382245732929997,7.563707622155e-05,0.0,0.0
0,4828346,9,1,0,0,0.0010447673583035002,0.00011608526203372225,0.1111111111111111,0.0
0,4869922,6,1,0,0,0.0009380894240770001,0.00015634823734616667,0.16666666666666666,0.0
0,4869923,2,1,0,0,0.00044877046318200005,0.00022438523159100003,0.5,0.0
0,4913658,2,1,0,0,0.000740471407518,0.000370235703759,0.5,0.0
0,5044698,45,15,0,0,0.0049426920644891,0.00010983760143309111,0.3333333333333333,0.0
0,5061823,3,0,0,0,0.00040687340568550004,0.00013562446856183334,0.0,0.0
0,5061834,64,15,1,0,0.028868007410736498,0.0004510626157927578,0.234375,0.0
0,5084322,2,0,0,0,0.0002270048769081,0.00011350243845405,0.0,0.0
0,5121533,1,1,1,0,0.00048893346506,0.00048893346506,1.0,0.0
0,5121534,2,0,0,0,0.000494117640398,0.000247058820199,0.0,0.0
0,5121547,4,1,0,0,0.0020837713778919,0.000520942844472975,0.25,0.0
0,5281156,17,7,0,0,0.0014486294686724,8.52134981572e-05,0.4117647058823529,0.0
0,5316929,4,0,0,0,6.26470597877e-05,1.5661764946925e-05,0.0,0.0
0,5442463,4,0,0,0,0.00043221631846190005,0.00010805407961547501,0.0,0.0
0,5544859,4,3,1,1,0.0003296446375763,8.2411159394075e-05,0.75,0.25
0,5686703,8,3,0,0,0.0008224003542386,0.000102800044279825,0.375,0.0
0,5700346,3,3,0,0,0.0007257340512409,0.00024191135041363334,1.0,0.0
0,5743152,1,0,0,0,1.33508827318e-05,1.33508827318e-05,0.0,0.0
0,5743167,2,1,0,0,0.00028681953538869996,0.00014340976769434998,0.5,0.0
0,5781045,1,1,0,0,0.000499340365915,0.000499340365915,1.0,0.0
0,5867090,4,1,0,0,0.0001898244977952,4.74561244488e-05,0.25,0.0
0,5871888,18,4,0,0,0.00018,1e-05,0.2222222222222222,0.0
0,5892331,2,0,0,0,2.38905107537e-05,1.194525537685e-05,0.0,0.0
0,6015885,2,1,0,0,0.0013487819185153999,0.0006743909592576999,0.5,0.0
